name,country,latitude,longitude,near_hotspot,hotspot_info
ሚዛን-አማን ጤና ሳይንስ ኮሌጅ,Ethiopia,6.948436,35.548189,False,
Bona Primary School,Ethiopia,6.523826,38.713988,False,
בית יעקב עזרת תורה,Palestine,31.795018,35.217277,False,
Gordemma Elementary School,Ethiopia,11.555429,37.389255,False,
Togogwa school,Ethiopia,13.563235,39.298386,False,
ኦሜድላ ትምህርት ቤት,Ethiopia,9.022863,38.731158,False,
ፊታውራሪ ላቀ እድገህ ት/ቤት,Ethiopia,8.978207,38.753994,False,
Azezo Elementary School,Ethiopia,12.54512,37.429614,False,
Adams Universitiy megenagna campus,Ethiopia,9.018422,38.800694,False,
"בי""ס בן יהודה",Palestine,31.764176,35.226506,True,Bethlehem (68 events)
Arabbuna Elementary School For Boys & Girles,Palestine,32.509383,35.362822,True,Jenin (43 events)
תיכון אורט בית הערבה,Palestine,31.749913,35.221751,True,Bethlehem (68 events)
مدرسة مصطفى صادق الرفاعي للصم _ بنات,Palestine,31.516426,34.432586,True,Deir El Balah (3 events)
Latin Patriarchate School Beit-Sahour,Palestine,31.704583,35.217152,True,Bethlehem (68 events)
Ibrahem Bin Adham School,Palestine,31.828777,35.209116,True,Al Quds (93 events)
مدرسة أبو بكر الصديق,Palestine,31.849455,35.451105,True,Jericho (14 events)
مدرسة هشام بن عبد الملك,Palestine,31.847974,35.452136,True,Jericho (14 events)
National colleges,Ethiopia,9.0049,38.742764,False,
חוות שדה בר,Palestine,31.659863,35.244006,True,Bethlehem (68 events)
Jaba' School For Boys,Palestine,31.855443,35.26146,True,Al Quds (93 events)
المدرسية الإنجيلية الأسقفية العربية,Palestine,31.909425,35.190312,True,Al Quds (93 events)
مدرسة الحاجة رابعة,Palestine,31.650977,35.060093,False,
"ת""ת הרא""ם",Palestine,31.786825,35.176206,True,Bethlehem (68 events)
מדרשת חברון,Palestine,31.527597,35.11971,True,Hebron (147 events)
"בי""ס חברון",Palestine,31.530592,35.119539,True,Hebron (147 events)
Tayseer Maraka School,Palestine,31.525964,35.108257,True,Hebron (147 events)
Dalal Al Moghrabi High School For Girls,Palestine,31.577471,35.147214,True,Hebron (147 events)
Bait Sureek Elementary School For Girls,Palestine,31.822774,35.156186,True,Al Quds (93 events)
Addis ketema tvte,Ethiopia,9.024923,38.734374,False,
ተፈሪ መኮንን ኮሌጅ,Ethiopia,9.051163,38.765292,False,
አየር ጤና ከ2ተኛ ደረጃ,Ethiopia,8.983609,38.694769,False,
B.T.D. Educational Acadamy,Ethiopia,8.977656,38.761127,False,
"בי""ס צמח השדה וחטיבה צעירה",Palestine,31.770278,35.308168,False,
Nazareth School,Ethiopia,9.039128,38.75801,False,
ሀሰን ጎሮ,Ethiopia,3.766262,39.229454,False,
Primary school,Ethiopia,4.181564,42.056628,False,
Aqraba Elemintary School For Girls,Palestine,32.125594,35.342434,False,
مدرسة جلقموس الثانوية للبنات,Palestine,32.420674,35.360861,True,Jenin (43 events)
مدرسة المتميزون,Palestine,31.520427,34.440995,True,Deir El Balah (3 events)
مدرسة صير الثانوية,Palestine,32.361199,35.313882,True,Tubas (14 events)
مدرسة بنات مسلية الثانوية,Palestine,32.390725,35.290793,True,Jenin (43 events)
مدرسة دار المعرفة الأساسية للبنين,Palestine,31.552826,35.083133,True,Hebron (147 events)
"בי""ס לבנות תהילה",Palestine,31.784261,35.222861,True,Bethlehem (68 events)
Noba Kindergarten,Palestine,31.610491,35.030004,False,
Mohanad,Palestine,32.064654,35.02555,False,
Mazara' Al Nubani Children Kindergarten,Palestine,32.048325,35.164641,True,Salfit (50 events)
ذكور بروقين الاساسيه,Palestine,32.077183,35.098944,True,Salfit (50 events)
Al Shuruq,Palestine,32.082984,35.177059,True,Salfit (50 events)
Al Khansa Kindergarten,Palestine,31.406367,34.970045,False,
מכון רובין,Palestine,31.928776,35.026645,False,
שירת הלב,Palestine,32.26712,34.96465,True,Qalqilya (66 events)
مدرسة شمس المعارف,Palestine,31.806018,35.261518,False,
בית ספר מולדת,Palestine,31.801213,35.146537,False,
مدرسة جمال عبد الناصر,Palestine,32.219815,35.256217,True,Nablus (156 events)
"בי""ס אופק",Palestine,31.812706,35.19538,True,Al Quds (93 events)
مدرسة وروضة المحبة والايمان,Palestine,31.779943,35.2472,True,Bethlehem (68 events)
Aqraba Elemintary School For Boys,Palestine,32.123497,35.346078,False,
ጊዮርጊስ ት/ቤት,Ethiopia,6.865567,37.755158,False,
Edo elementary School,Ethiopia,7.009673,39.038374,False,
Erestino Primary School,Ethiopia,3.459766,39.555263,False,
Kachisi Elementary School,Ethiopia,9.596809,37.84738,False,
New Kindergarten,Palestine,32.416183,35.057598,False,
Bir Ziet school For Boys,Palestine,31.972716,35.197311,True,Al Quds (93 events)
مدرسة بنات بيت امر للبنات,Palestine,31.62396,35.100622,False,
مدرسة الرابطة الجامعين,Palestine,31.553446,35.090148,True,Hebron (147 events)
مدرسة الجامعة,Palestine,31.551242,35.088771,True,Hebron (147 events)
المركز الفرنسي,Palestine,31.549776,35.094355,True,Hebron (147 events)
مدرسة بيت لقيا الأساسية للبنين,Palestine,31.871021,35.071383,False,
اليامون الثانوية للبنين,Palestine,32.495551,35.251808,True,Jenin (43 events)
