year,indicator_code,indicator_label,unit,source,angle,value
2007,SE.PRM.CMPT.MA.ZS,Male primary completion rate (%),%,worldbank,gender,75.0991821289062
2007,SE.PRM.CMPT.ZS,Primary completion rate (%),%,worldbank,learning,77.1630706787109
2007,SE.PRM.ENRL.TC.ZS,"Pupil-teacher ratio, primary",ratio,worldbank,teacher,14.25017
2007,SE.PRM.ENRR,"Primary enrollment, gross (%)",%,worldbank,access,88.3269729614258
2007,SE.PRM.TCHR,Teachers in primary (count),count,worldbank,teacher,33202
2007,SE.PRM.UNER,"Out-of-school children, primary (count)",count,worldbank,access,116143
2007,SE.PRM.UNER.FE.ZS,"Out-of-school girls, primary (%)",%,worldbank,gender,21.9282398223877
2007,SE.PRM.UNER.MA.ZS,"Out-of-school boys, primary (%)",%,worldbank,gender,21.4451408386231
2007,SE.PRM.UNER.ZS,"Out-of-school children, primary (%)",%,worldbank,access,21.6821403503418
2007,SE.SEC.CMPT.LO.ZS,Lower secondary completion rate (%),%,worldbank,learning,59.4262390136719
2007,SE.SEC.ENRL.TC.ZS,"Pupil-teacher ratio, secondary",ratio,worldbank,teacher,9.20215
2007,SE.SEC.ENRR,"Secondary enrollment, gross (%)",%,worldbank,access,68.0434875488281
2007,SE.SEC.TCHR,Teachers in secondary (count),count,worldbank,teacher,41747
2007,SE.XPD.TOTL.GB.ZS,Education expenditure (% of govt spend),%,worldbank,expenditure,7.34104013442993
2007,SE.XPD.TOTL.GD.ZS,Education expenditure (% of GDP),%,worldbank,expenditure,2.58357000350952
2007,SL.UEM.1524.ZS,Youth unemployment rate (%),%,worldbank,economic,21.837
2007,SL.UEM.TOTL.ZS,Unemployment rate (%),%,worldbank,economic,8.98
2007,SM.POP.NETM,Net migration (count),count,worldbank,displacement,27944
2008,CME_MRY0T4,Under-5 mortality rate,per 1k,unicef,wellbeing,13.5801984565362
2008,NY.GDP.PCAP.CD,GDP per capita (USD),USD,worldbank,economic,5912.04532820842
2008,ROFST.1.CP,"Out-of-school rate, primary (%)",%,uis,access,23.26396942138672
2008,ROFST.2.CP,"Out-of-school rate, lower secondary (%)",%,uis,access,23.05731010437012
2008,SE.PRM.CMPT.FE.ZS,Female primary completion rate (%),%,worldbank,gender,80.3069229125977
2008,SE.PRM.CMPT.MA.ZS,Male primary completion rate (%),%,worldbank,gender,75.996208190918
2008,SE.PRM.CMPT.ZS,Primary completion rate (%),%,worldbank,learning,78.1084899902344
2008,SE.PRM.ENRL.TC.ZS,"Pupil-teacher ratio, primary",ratio,worldbank,teacher,14.21478
2008,SE.PRM.ENRR,"Primary enrollment, gross (%)",%,worldbank,access,86.235969543457
2008,SE.PRM.TCHR,Teachers in primary (count),count,worldbank,teacher,32875
2008,SE.PRM.UNER,"Out-of-school children, primary (count)",count,worldbank,access,126067
2008,SE.PRM.UNER.FE.ZS,"Out-of-school girls, primary (%)",%,worldbank,gender,23.5740203857422
2008,SE.PRM.UNER.MA.ZS,"Out-of-school boys, primary (%)",%,worldbank,gender,22.9650993347168
2008,SE.PRM.UNER.ZS,"Out-of-school children, primary (%)",%,worldbank,access,23.2639694213867
2008,SE.SEC.CMPT.LO.ZS,Lower secondary completion rate (%),%,worldbank,learning,58.5656700134277
2008,SE.SEC.ENRL.TC.ZS,"Pupil-teacher ratio, secondary",ratio,worldbank,teacher,9.1243
2008,SE.SEC.ENRR,"Secondary enrollment, gross (%)",%,worldbank,access,68.8993988037109
2008,SE.SEC.TCHR,Teachers in secondary (count),count,worldbank,teacher,42165
2008,SE.XPD.TOTL.GB.ZS,Education expenditure (% of govt spend),%,worldbank,expenditure,5.86977005004883
2008,SE.XPD.TOTL.GD.ZS,Education expenditure (% of GDP),%,worldbank,expenditure,2.01479005813599
2008,SL.UEM.1524.ZS,Youth unemployment rate (%),%,worldbank,economic,18.543
2008,SL.UEM.TOTL.ZS,Unemployment rate (%),%,worldbank,economic,7.666
2008,SM.POP.NETM,Net migration (count),count,worldbank,displacement,430
2009,CME_MRY0T4,Under-5 mortality rate,per 1k,unicef,wellbeing,13.2132317838909
2009,FP.CPI.TOTL.ZG,Inflation (%),%,worldbank,economic,1.19509671165543
2009,NY.GDP.PCAP.CD,GDP per capita (USD),USD,worldbank,economic,7090.85493856621
2009,ROFST.1.CP,"Out-of-school rate, primary (%)",%,uis,access,24.08274078369141
2009,ROFST.2.CP,"Out-of-school rate, lower secondary (%)",%,uis,access,21.37715911865234
2009,SE.ADT.1524.LT.ZS,Youth literacy rate 15–24 (%),%,worldbank,learning,99.2399978637695
2009,SE.PRM.CMPT.FE.ZS,Female primary completion rate (%),%,worldbank,gender,78.2984771728516
2009,SE.PRM.CMPT.MA.ZS,Male primary completion rate (%),%,worldbank,gender,74.3959197998047
2009,SE.PRM.CMPT.ZS,Primary completion rate (%),%,worldbank,learning,76.3097229003906
2009,SE.PRM.ENRL.TC.ZS,"Pupil-teacher ratio, primary",ratio,worldbank,teacher,13.94637
2009,SE.PRM.ENRR,"Primary enrollment, gross (%)",%,worldbank,access,85.3689270019531
2009,SE.PRM.TCHR,Teachers in primary (count),count,worldbank,teacher,33302
2009,SE.PRM.UNER,"Out-of-school children, primary (count)",count,worldbank,access,131020
2009,SE.PRM.UNER.FE.ZS,"Out-of-school girls, primary (%)",%,worldbank,gender,24.7441291809082
2009,SE.PRM.UNER.MA.ZS,"Out-of-school boys, primary (%)",%,worldbank,gender,23.4447402954102
2009,SE.PRM.UNER.ZS,"Out-of-school children, primary (%)",%,worldbank,access,24.0827407836914
2009,SE.SEC.CMPT.LO.ZS,Lower secondary completion rate (%),%,worldbank,learning,60.371150970459
2009,SE.SEC.ENRL.TC.ZS,"Pupil-teacher ratio, secondary",ratio,worldbank,teacher,9.20378
2009,SE.SEC.ENRR,"Secondary enrollment, gross (%)",%,worldbank,access,71.0917282104492
2009,SE.SEC.TCHR,Teachers in secondary (count),count,worldbank,teacher,42492
2009,SE.XPD.TOTL.GB.ZS,Education expenditure (% of govt spend),%,worldbank,expenditure,5.50299978256226
2009,SE.XPD.TOTL.GD.ZS,Education expenditure (% of GDP),%,worldbank,expenditure,1.76570999622345
2009,SL.UEM.1524.ZS,Youth unemployment rate (%),%,worldbank,economic,15.297
2009,SL.UEM.TOTL.ZS,Unemployment rate (%),%,worldbank,economic,6.355
2009,SM.POP.NETM,Net migration (count),count,worldbank,displacement,-2700
2010,CME_MRY0T4,Under-5 mortality rate,per 1k,unicef,wellbeing,12.952134453388
2010,FP.CPI.TOTL.ZG,Inflation (%),%,worldbank,economic,3.98347941855833
2010,NY.GDP.PCAP.CD,GDP per capita (USD),USD,worldbank,economic,7625.81051551165
2010,ROFST.1.CP,"Out-of-school rate, primary (%)",%,uis,access,23.83631131117343
2010,ROFST.2.CP,"Out-of-school rate, lower secondary (%)",%,uis,access,22.30693897767055
2010,SE.PRM.CMPT.FE.ZS,Female primary completion rate (%),%,worldbank,gender,79.3821904157985
2010,SE.PRM.CMPT.MA.ZS,Male primary completion rate (%),%,worldbank,gender,75.6484716157205
2010,SE.PRM.CMPT.ZS,Primary completion rate (%),%,worldbank,learning,77.481213037485
2010,SE.PRM.ENRL.TC.ZS,"Pupil-teacher ratio, primary",ratio,worldbank,teacher,14.1419
2010,SE.PRM.ENRR,"Primary enrollment, gross (%)",%,worldbank,access,84.7973450726083
2010,SE.PRM.TCHR,Teachers in primary (count),count,worldbank,teacher,32649
2010,SE.PRM.UNER,"Out-of-school children, primary (count)",count,worldbank,access,129788
2010,SE.PRM.UNER.FE.ZS,"Out-of-school girls, primary (%)",%,worldbank,gender,24.2654840121008
2010,SE.PRM.UNER.MA.ZS,"Out-of-school boys, primary (%)",%,worldbank,gender,23.4220935772135
2010,SE.PRM.UNER.ZS,"Out-of-school children, primary (%)",%,worldbank,access,23.8363113111734
2010,SE.SEC.CMPT.LO.ZS,Lower secondary completion rate (%),%,worldbank,learning,60.2311314347806
2010,SE.SEC.ENRL.TC.ZS,"Pupil-teacher ratio, secondary",ratio,worldbank,teacher,8.94176
2010,SE.SEC.ENRR,"Secondary enrollment, gross (%)",%,worldbank,access,70.562435785543
2010,SE.SEC.TCHR,Teachers in secondary (count),count,worldbank,teacher,42858
2010,SE.XPD.TOTL.GB.ZS,Education expenditure (% of govt spend),%,worldbank,expenditure,5.53428983688354
2010,SE.XPD.TOTL.GD.ZS,Education expenditure (% of GDP),%,worldbank,expenditure,1.61330997943878
2010,SL.UEM.1524.ZS,Youth unemployment rate (%),%,worldbank,economic,16.079
2010,SL.UEM.TOTL.ZS,Unemployment rate (%),%,worldbank,economic,6.768
2010,SM.POP.NETM,Net migration (count),count,worldbank,displacement,-40915
