name,amenity,country,iso3,source,latitude,longitude,addr_city,operator,building,near_hotspot,hotspot_info
Al Huda Isalamic School And Kindergarten,kindergarten,Palestine,PSE,HOTOSM/OSM,31.850529,35.17698,,,,True,Al Quds (93 events)
Alamura High School,school,Ethiopia,ETH,HOTOSM/OSM,7.02735,38.48681,,,,False,
St.Anthony Catholic Tecnical School,school,Ethiopia,ETH,HOTOSM/OSM,8.121753,37.936423,,,,False,
Ethiopia tikdem andegna dereja temert bet,school,Ethiopia,ETH,HOTOSM/OSM,7.054428,38.485841,,,,False,
Hibret frie,school,Ethiopia,ETH,HOTOSM/OSM,8.060153,38.467684,,,,False,
መቐለ ዩኒቨርሲቲ እንዳየሱስ ግቢ,college,Ethiopia,ETH,HOTOSM/OSM,13.477088,39.483994,,,,True,Mekelle Tigray (6 events)
תמר,kindergarten,Palestine,PSE,HOTOSM/OSM,31.90171,34.993144,,,,False,
millinneyem,school,Ethiopia,ETH,HOTOSM/OSM,9.040625,38.71113,,,,False,
Guzara High School,school,Ethiopia,ETH,HOTOSM/OSM,12.260089,37.624996,,,,False,
FetAwerari HabeteGiorgis,school,Ethiopia,ETH,HOTOSM/OSM,9.062568,38.694685,,,,False,
مدرسة زواتا,school,Palestine,PSE,HOTOSM/OSM,32.247115,35.229338,,,,True,Nablus (156 events)
Al Quds Mix School,school,Palestine,PSE,HOTOSM/OSM,32.188602,35.281967,,,,True,Nablus (156 events)
Al 'a'shah Elementary School For Girls,school,Palestine,PSE,HOTOSM/OSM,32.215942,35.269463,,,,True,Nablus (156 events)
مدرسة جنين الصناعية,school,Palestine,PSE,HOTOSM/OSM,32.468533,35.325973,,,,True,Jenin (43 events)
Boys School,school,Palestine,PSE,HOTOSM/OSM,32.308263,35.113013,,,,True,Tulkarm (40 events)
Al Funduk Elemintary School,school,Palestine,PSE,HOTOSM/OSM,32.191758,35.133785,,,,False,
Burqa Secondary School For Girls,school,Palestine,PSE,HOTOSM/OSM,32.300768,35.18573,,,,True,Nablus (156 events)
مدرسة بنات مسلية الأساسية,school,Palestine,PSE,HOTOSM/OSM,32.388256,35.288081,,,,True,Jenin (43 events)
Dosha Primary school,school,Ethiopia,ETH,HOTOSM/OSM,7.93144,39.132429,,,,False,
Ugaas Mashkoke ,school,Ethiopia,ETH,HOTOSM/OSM,5.944587,43.55073,,,,False,
Iskoolka Waafdhuug,school,Ethiopia,ETH,HOTOSM/OSM,6.818052,45.087119,,,,False,
Masinchi Primary school,school,Ethiopia,ETH,HOTOSM/OSM,6.734621,38.421467,,,,False,
ፅጌረዳ ሁለተኛ ደረጃ ትምህርት ቤት,school,Ethiopia,ETH,HOTOSM/OSM,13.76935,39.347015,,,,False,
Primary School,school,Ethiopia,ETH,HOTOSM/OSM,13.749195,39.550039,,,,False,
Sherafo Complete Primary School,school,Ethiopia,ETH,HOTOSM/OSM,13.684432,39.54332,,,,False,
Baraem Der Bazi Kindergarten,kindergarten,Palestine,PSE,HOTOSM/OSM,31.915814,35.117934,,,,True,Al Quds (93 events)
Dereje Kaba HPS (Menschen fuer Menschen),school,Ethiopia,ETH,HOTOSM/OSM,9.040833,35.105833,,,,False,
meles zenawi preparatory school,school,Ethiopia,ETH,HOTOSM/OSM,13.629711,38.991517,,,,False,
ማይካድራ ካልኣይ ብርኪ ቤት ትምህርቲ,school,Ethiopia,ETH,HOTOSM/OSM,14.082235,36.570453,,,,False,
Gode Poly Technic Collage  ,school,Ethiopia,ETH,HOTOSM/OSM,5.940009,43.561219,,,,False,
OZOM ACADEMY,,Ethiopia,ETH,HOTOSM/OSM,13.479357,39.460773,,,school,True,Mekelle Tigray (6 events)
College of Teacher Education,college,Ethiopia,ETH,HOTOSM/OSM,7.035502,38.475474,,,,False,
Hawassa Agricultural College,college,Ethiopia,ETH,HOTOSM/OSM,7.055532,38.471812,,,,False,
Yeror,kindergarten,Ethiopia,ETH,HOTOSM/OSM,8.114524,37.972126,,,,False,
זית,kindergarten,Palestine,PSE,HOTOSM/OSM,31.901619,34.992774,,,,False,
Al Sawahreh Kindergarten,kindergarten,Palestine,PSE,HOTOSM/OSM,31.745126,35.26576,,,,True,Bethlehem (68 events)
Al Amal kindergarten,kindergarten,Palestine,PSE,HOTOSM/OSM,31.902909,35.176345,,,,True,Al Quds (93 events)
Alahbab,kindergarten,Palestine,PSE,HOTOSM/OSM,31.999058,35.06476,,,,False,
גן ילדים הניסויי,kindergarten,Palestine,PSE,HOTOSM/OSM,31.778826,35.218775,,,,True,Bethlehem (68 events)
روضة مخماس,kindergarten,Palestine,PSE,HOTOSM/OSM,31.874131,35.276444,,,,True,Al Quds (93 events)
Seret Primary School,school,Ethiopia,ETH,HOTOSM/OSM,13.582866,39.121985,,,,False,
Hawassa Addis Ketema Highschool,school,Ethiopia,ETH,HOTOSM/OSM,7.067939,38.485641,,,,False,
Ayni's School,school,Ethiopia,ETH,HOTOSM/OSM,7.079523,38.485614,,,,False,
አጉላዕ ሁለተኛ ደረጃ ትምህርት ቤት,school,Ethiopia,ETH,HOTOSM/OSM,13.695306,39.580638,,,,False,
Abaya Secondary School,school,Ethiopia,ETH,HOTOSM/OSM,6.035759,37.548299,,,,False,
Radical School,school,Ethiopia,ETH,HOTOSM/OSM,9.039476,38.762799,,,,False,
ኤል ኤም,school,Ethiopia,ETH,HOTOSM/OSM,9.037915,38.766118,,,,False,
Genet K. G. School,school,Ethiopia,ETH,HOTOSM/OSM,9.042056,38.762727,,,,False,
Yekatit 12 preparatory,school,Ethiopia,ETH,HOTOSM/OSM,9.05024,38.75943,,,,False,
የኢትዮጵያ ህዋ ምርምር,school,Ethiopia,ETH,HOTOSM/OSM,9.050762,38.761599,,,,False,
ድል በትግል የመጀመሪያ ደረጃ ት/ቤት,school,Ethiopia,ETH,HOTOSM/OSM,9.062437,38.760308,,,,False,
African hall,university,Ethiopia,ETH,HOTOSM/OSM,7.056822,38.496023,,,,False,
Hawassa University Condominiums,university,Ethiopia,ETH,HOTOSM/OSM,7.069548,38.487352,,,,False,
תלמוד תורה עץ חיים,school,Palestine,PSE,HOTOSM/OSM,31.696498,35.10296,,,,True,Bethlehem (68 events)
مدرسة ذكور قبيا الثاناوية,school,Palestine,PSE,HOTOSM/OSM,31.978091,35.009315,,,,False,
የቅዱስ ጆርጅ ትምህርት ቤት,school,Ethiopia,ETH,HOTOSM/OSM,12.532882,37.439688,,,,False,
בית יעקב גאולה,school,Palestine,PSE,HOTOSM/OSM,31.796308,35.216151,,,,True,Ramallah and Al Bireh (150 events)
Al-Amal school,school,Palestine,PSE,HOTOSM/OSM,31.716224,35.176252,,,,True,Bethlehem (68 events)
Zuhur Burham,school,Palestine,PSE,HOTOSM/OSM,31.98921,35.175114,,,,False,
Al Galazon Primary Female School,school,Palestine,PSE,HOTOSM/OSM,31.944319,35.215668,,,,True,Al Quds (93 events)
Al Glazon primary Male School,school,Palestine,PSE,HOTOSM/OSM,31.944749,35.215782,,,,True,Al Quds (93 events)
"בי""ס אמי""ת דרור",school,Palestine,PSE,HOTOSM/OSM,31.784367,35.194759,,,,True,Bethlehem (68 events)
ישיבת רינת התורה,school,Palestine,PSE,HOTOSM/OSM,31.790454,35.210826,,,,True,Bethlehem (68 events)
