Country,Admin1,Admin2,Year,Events,Fatalities
Lebanon,Al Nabatieh,Marjayoun,2026,31,29
Lebanon,Baalbek-Hermel,Al Hermel,2016,1,0
Lebanon,Baalbek-Hermel,Al Hermel,2017,1,1
Lebanon,Baalbek-Hermel,Al Hermel,2018,0,0
Lebanon,Baalbek-Hermel,Al Hermel,2019,1,0
Lebanon,Baalbek-Hermel,Al Hermel,2020,1,0
Lebanon,Baalbek-Hermel,Al Hermel,2021,1,0
Lebanon,Baalbek-Hermel,Al Hermel,2022,1,0
Lebanon,Baalbek-Hermel,Al Hermel,2023,0,0
Lebanon,Baalbek-Hermel,Al Hermel,2024,12,47
Lebanon,Baalbek-Hermel,Al Hermel,2025,16,3
Lebanon,Baalbek-Hermel,Al Hermel,2026,2,16
Lebanon,Baalbek-Hermel,Baalbek,2016,41,28
Lebanon,Baalbek-Hermel,Baalbek,2017,24,16
Lebanon,Baalbek-Hermel,Baalbek,2018,6,4
Lebanon,Baalbek-Hermel,Baalbek,2019,6,1
Lebanon,Baalbek-Hermel,Baalbek,2020,7,1
Lebanon,Baalbek-Hermel,Baalbek,2021,7,1
Lebanon,Baalbek-Hermel,Baalbek,2022,7,0
Lebanon,Baalbek-Hermel,Baalbek,2023,3,3
Lebanon,Baalbek-Hermel,Baalbek,2024,92,439
Lebanon,Baalbek-Hermel,Baalbek,2025,14,9
Lebanon,Baalbek-Hermel,Baalbek,2026,24,137
Lebanon,Beirut,Beirut,2016,3,0
Lebanon,Beirut,Beirut,2017,0,0
Lebanon,Beirut,Beirut,2018,1,0
Lebanon,Beirut,Beirut,2019,6,1
Lebanon,Beirut,Beirut,2020,11,0
Lebanon,Beirut,Beirut,2021,5,0
Lebanon,Beirut,Beirut,2022,4,1
Lebanon,Beirut,Beirut,2023,3,0
Lebanon,Beirut,Beirut,2024,10,25
Lebanon,Beirut,Beirut,2025,0,0
Lebanon,Beirut,Beirut,2026,7,38
Lebanon,Bekaa,Rashayya,2016,0,0
Lebanon,Bekaa,Rashayya,2017,0,0
Lebanon,Bekaa,Rashayya,2018,1,0
Lebanon,Bekaa,Rashayya,2019,0,0
Lebanon,Bekaa,Rashayya,2020,1,0
Lebanon,Bekaa,Rashayya,2021,0,0
Lebanon,Bekaa,Rashayya,2022,0,0
Lebanon,Bekaa,Rashayya,2023,0,0
Lebanon,Bekaa,Rashayya,2024,5,13
Lebanon,Bekaa,Rashayya,2025,3,0
Lebanon,Bekaa,Rashayya,2026,0,0
Lebanon,Bekaa,West Bekaa,2016,2,0
Lebanon,Bekaa,West Bekaa,2017,2,0
Lebanon,Bekaa,West Bekaa,2018,0,0
Lebanon,Bekaa,West Bekaa,2019,0,0
Lebanon,Bekaa,West Bekaa,2020,1,0
Lebanon,Bekaa,West Bekaa,2021,1,0
Lebanon,Bekaa,West Bekaa,2022,4,0
Lebanon,Bekaa,West Bekaa,2023,1,2
Lebanon,Bekaa,West Bekaa,2024,24,63
Lebanon,Bekaa,West Bekaa,2025,3,1
Lebanon,Bekaa,West Bekaa,2026,17,32
Lebanon,Bekaa,Zahle,2016,5,3
Lebanon,Bekaa,Zahle,2017,1,2
Lebanon,Bekaa,Zahle,2018,2,0
Lebanon,Bekaa,Zahle,2019,5,0
Lebanon,Bekaa,Zahle,2020,10,0
Lebanon,Bekaa,Zahle,2021,2,0
Lebanon,Bekaa,Zahle,2022,3,0
Lebanon,Bekaa,Zahle,2023,4,2
Lebanon,Bekaa,Zahle,2024,15,32
Lebanon,Bekaa,Zahle,2025,1,0
Lebanon,Bekaa,Zahle,2026,3,1
Lebanon,Mount Lebanon,Al Matn,2016,0,0
Lebanon,Mount Lebanon,Al Matn,2017,0,0
Lebanon,Mount Lebanon,Al Matn,2018,0,0
Lebanon,Mount Lebanon,Al Matn,2019,2,0
Lebanon,Mount Lebanon,Al Matn,2020,0,0
Lebanon,Mount Lebanon,Al Matn,2021,1,0
Lebanon,Mount Lebanon,Al Matn,2022,3,0
Lebanon,Mount Lebanon,Al Matn,2023,0,0
Lebanon,Mount Lebanon,Al Matn,2024,1,1
Lebanon,Mount Lebanon,Al Matn,2025,0,0
Lebanon,Mount Lebanon,Al Matn,2026,3,4
Lebanon,Mount Lebanon,Aley,2016,0,0
Lebanon,Mount Lebanon,Aley,2017,0,0
Lebanon,Mount Lebanon,Aley,2018,0,0
Lebanon,Mount Lebanon,Aley,2019,1,0
Lebanon,Mount Lebanon,Aley,2020,2,2
Lebanon,Mount Lebanon,Aley,2021,2,0
Lebanon,Mount Lebanon,Aley,2022,1,0
Lebanon,Mount Lebanon,Aley,2023,0,0
Lebanon,Mount Lebanon,Aley,2024,9,30
Lebanon,Mount Lebanon,Aley,2025,2,0
Lebanon,Mount Lebanon,Aley,2026,10,35
Lebanon,Mount Lebanon,Baabda,2016,2,0
Lebanon,Mount Lebanon,Baabda,2017,3,3
Lebanon,Mount Lebanon,Baabda,2018,1,0
Lebanon,Mount Lebanon,Baabda,2019,2,0
Lebanon,Mount Lebanon,Baabda,2020,1,0
Lebanon,Mount Lebanon,Baabda,2021,3,1
Lebanon,Mount Lebanon,Baabda,2022,1,0
Lebanon,Mount Lebanon,Baabda,2023,3,3
Lebanon,Mount Lebanon,Baabda,2024,22,48
Lebanon,Mount Lebanon,Baabda,2025,2,1
Lebanon,Mount Lebanon,Baabda,2026,15,27
Lebanon,Mount Lebanon,Chouf,2016,1,0
Lebanon,Mount Lebanon,Chouf,2017,1,0
Lebanon,Mount Lebanon,Chouf,2018,1,0
Lebanon,Mount Lebanon,Chouf,2019,1,0
Lebanon,Mount Lebanon,Chouf,2020,4,0
Lebanon,Mount Lebanon,Chouf,2021,2,1
Lebanon,Mount Lebanon,Chouf,2022,2,0
Lebanon,Mount Lebanon,Chouf,2023,0,0
Lebanon,Mount Lebanon,Chouf,2024,7,72
