country_name,World Bank income group,Is student attendance recorded?,Can individual students who received school feeding be linked to attendance?,Describe impacts of school feeding on students,Did your country have a national school feeding program?,total_children_fed,pct_coverage,prop_preschool_fed,prop_primary_fed,prop_secondary_fed,prop_preschool_students_fed,prop_primary_students_fed,prop_secondary_students_fed,Fatalities,Events
Guinea,Low income,Yes,Yes,"Rapport SABER-AS 2014 ,
Rapport SABER-AS 2019,
Etude diagnostique du programme d'alimentation scolaire en Guinée",Yes,216252.0,5.576138496398926,0.16413170099258423,10.65027904510498,0.0,1.3089722394943237,10.162829399108887,0.0,,
Guinea-Bissau,Low income,Yes,Yes,"mudança dos alunos das  escolas sem programa para escolas com programa.

melhoria da dieta alimentar ",Yes,224986.0,38.13283538818359,3.6038658618927,69.92253112792969,0.0,23.103418350219727,,,,
Guyana,Upper middle income,Yes,Yes,"Consultations with parents have shown that as a result of the programme, attendance has increased.",Yes,,,,,,,,,,
Haiti,Lower middle income,,,,Yes,,,,,,,,,6087.0,3905.0
Honduras,Lower middle income,Yes,Yes,Levantamiento de estados nutricionales de los escolares,Yes,,,,,,,,,,
Hungary,High income,,,,Yes,,,,,,,,,,
Iceland,High income,Yes,,School children eat healthier food ,Yes,,,,,,,,,,
India,Lower middle income,Yes,,"Increased enrollment, retention, reduced dropout rate

",Yes,,,,,,,,,,
Indonesia,Lower middle income,,,,No,,,,,,,,,,
Iraq,Upper middle income,Yes,Yes,"A survey study on the impact of school feeding programs on cognitive, health and physical aspects.
Analytical study on the impact of school feeding on students' educational achievement from the teachers' point of view
..... ..... .. ..... ..... ....... ........ ... ....... ........ ....... .........
..... ....... .. ... ....... ........ ... ....... ...... ........ .. .... ... ........ ",Yes,,,,,,,,,,
Ireland,High income,Yes,,,Yes,,,,,,,,,,
Israel,High income,No,,"an external and independent agent conducted a research on food waste and consumption, based on data collected by the program during inspections at the schools. ",Yes,,,,,,,,,,
Italy,High income,Yes,,minimum GPP criteria in school feeding programs,Yes,,,,,,,,,,
Jamaica,Upper middle income,Yes,Yes,,Yes,,,,,,,,,,
Kazakhstan,Upper middle income,Yes,,Studies made in the framework of Densaulyk Program by Kazakh Academy of Nutrition & Ministry of Health ,Yes,,,,,,,,,,
Kenya,Lower middle income,Yes,Yes,"it came out clearly that school feeding enhances enrolment, retention, completion and it spurs economic development in rural areas.",Yes,,,,,,,,,,
Kiribati,Lower middle income,Yes,,,Yes,,,,,,,,,,
Kuwait,High income,Yes,Yes,Nutritional Surveillance Program - Questionnaire for school canteens submitted by the Food and Nutrition General Authority,Yes,,,,,,,,,,
Kyrgyzstan,Lower middle income,,,"Now in the country the nutritional status study is conducting (NIMAs) by UN Agencies, Mercy Corps, World Bank and Advancing Nutrition Project. ",Yes,,,,,,,,,,
Laos,Lower middle income,Yes,,,Yes,,,,,,,,,,
Latvia,High income,Yes,,,Yes,,,,,,,,,,
Lesotho,Lower middle income,Yes,,,Yes,,,,,,,,,,
Liberia,Low income,Yes,Yes,The System Approach tfor Better Education Results (SABER).,Yes,278043.0,13.17624282836914,19.78229331970215,21.307342529296875,3.955672264099121,16.396791458129883,26.298629760742188,12.061790466308594,,
